"GEOID","NAME","variable","estimate","moe","CensusTract"
"51003010100","Census Tract 101, Albemarle County, Virginia","B19013_001",87000,24390,"101"
"51003010201","Census Tract 102.01, Albemarle County, Virginia","B19013_001",89410,13084,"102.01"
"51003010202","Census Tract 102.02, Albemarle County, Virginia","B19013_001",120050,18687,"102.02"
"51003010301","Census Tract 103.01, Albemarle County, Virginia","B19013_001",106359,13185,"103.01"
"51003010302","Census Tract 103.02, Albemarle County, Virginia","B19013_001",116875,79070,"103.02"
"51003010303","Census Tract 103.03, Albemarle County, Virginia","B19013_001",95229,10004,"103.03"
"51003010401","Census Tract 104.01, Albemarle County, Virginia","B19013_001",88902,15978,"104.01"
"51003010402","Census Tract 104.02, Albemarle County, Virginia","B19013_001",96375,16254,"104.02"
"51003010501","Census Tract 105.01, Albemarle County, Virginia","B19013_001",119722,26743,"105.01"
"51003010502","Census Tract 105.02, Albemarle County, Virginia","B19013_001",75615,12625,"105.02"
"51003010602","Census Tract 106.02, Albemarle County, Virginia","B19013_001",100240,15708,"106.02"
"51003010603","Census Tract 106.03, Albemarle County, Virginia","B19013_001",42627,14281,"106.03"
"51003010604","Census Tract 106.04, Albemarle County, Virginia","B19013_001",92500,8784,"106.04"
"51003010701","Census Tract 107.01, Albemarle County, Virginia","B19013_001",45385,20628,"107.01"
"51003010702","Census Tract 107.02, Albemarle County, Virginia","B19013_001",60488,14982,"107.02"
"51003010801","Census Tract 108.01, Albemarle County, Virginia","B19013_001",69029,8072,"108.01"
"51003010802","Census Tract 108.02, Albemarle County, Virginia","B19013_001",63951,24961,"108.02"
"51003010901","Census Tract 109.01, Albemarle County, Virginia","B19013_001",43750,13644,"109.01"
"51003010904","Census Tract 109.04, Albemarle County, Virginia","B19013_001",34688,12809,"109.04"
"51003011000","Census Tract 110, Albemarle County, Virginia","B19013_001",150682,32480,"110"
"51003011101","Census Tract 111.01, Albemarle County, Virginia","B19013_001",73214,13833,"111.01"
"51003011102","Census Tract 111.02, Albemarle County, Virginia","B19013_001",108065,33929,"111.02"
"51003011103","Census Tract 111.03, Albemarle County, Virginia","B19013_001",125417,34870,"111.03"
"51003011201","Census Tract 112.01, Albemarle County, Virginia","B19013_001",85729,16087,"112.01"
"51003011202","Census Tract 112.02, Albemarle County, Virginia","B19013_001",131136,24079,"112.02"
"51003011301","Census Tract 113.01, Albemarle County, Virginia","B19013_001",80833,23732,"113.01"
"51003011302","Census Tract 113.02, Albemarle County, Virginia","B19013_001",63200,16879,"113.02"
"51003011303","Census Tract 113.03, Albemarle County, Virginia","B19013_001",83397,7633,"113.03"
"51003011400","Census Tract 114, Albemarle County, Virginia","B19013_001",73345,16040,"114"
